Date,Symbol,Open,High,Low,Close,Volume
2025-09-01,RELIANCE.BSE,1357.85,1363.2,1341.7,1353.85,314139
2025-09-02,RELIANCE.BSE,1357.75,1384.65,1355.0,1366.3,466421
2025-09-03,RELIANCE.BSE,1369.9,1376.45,1361.15,1371.55,308664
2025-09-04,RELIANCE.BSE,1370.0,1374.45,1356.6,1359.2,838446
2025-09-05,RELIANCE.BSE,1365.9,1380.8,1359.35,1374.3,371445
2025-09-08,RELIANCE.BSE,1384.0,1385.9,1372.45,1378.85,249868
2025-09-09,RELIANCE.BSE,1378.85,1381.3,1369.0,1376.35,271853
2025-09-10,RELIANCE.BSE,1382.2,1388.65,1373.7,1376.8,429951
2025-09-11,RELIANCE.BSE,1376.65,1385.45,1374.6,1383.5,897550
2025-09-12,RELIANCE.BSE,1383.5,1396.1,1380.8,1394.8,505338
2025-09-15,RELIANCE.BSE,1395.0,1400.95,1388.35,1399.3,304016
2025-09-16,RELIANCE.BSE,1402.05,1407.7,1398.0,1405.15,845958
2025-09-17,RELIANCE.BSE,1409.95,1415.9,1407.0,1413.65,602241
2025-09-18,RELIANCE.BSE,1420.0,1421.8,1410.7,1414.55,697229
2025-09-19,RELIANCE.BSE,1415.0,1416.0,1403.55,1407.65,299536
2025-09-22,RELIANCE.BSE,1402.7,1410.45,1388.0,1390.4,705990
2025-09-23,RELIANCE.BSE,1390.0,1394.9,1377.0,1390.35,494335
2025-09-24,RELIANCE.BSE,1389.0,1396.0,1380.2,1383.75,604734
2025-09-25,RELIANCE.BSE,1381.0,1384.85,1369.0,1372.45,997953
2025-09-26,RELIANCE.BSE,1372.4,1382.4,1365.55,1377.75,792106
2025-09-29,RELIANCE.BSE,1380.1,1388.4,1368.25,1374.0,477774
2025-09-30,RELIANCE.BSE,1374.65,1376.05,1362.9,1363.8,1226892
2025-10-01,RELIANCE.BSE,1364.25,1378.2,1363.05,1368.8,1254860
2025-10-03,RELIANCE.BSE,1363.0,1371.0,1357.2,1363.45,869282
2025-10-06,RELIANCE.BSE,1362.2,1377.2,1358.6,1375.1,674892
2025-10-07,RELIANCE.BSE,1376.1,1395.75,1375.95,1384.95,865638
2025-10-08,RELIANCE.BSE,1384.2,1389.7,1364.9,1367.35,596052
2025-10-09,RELIANCE.BSE,1371.2,1380.15,1369.5,1377.95,970820
2025-10-10,RELIANCE.BSE,1377.95,1387.75,1375.55,1381.95,498516
2025-10-13,RELIANCE.BSE,1376.0,1377.65,1367.85,1375.1,574423
2025-10-14,RELIANCE.BSE,1377.25,1387.95,1370.4,1375.65,548000
2025-10-15,RELIANCE.BSE,1380.15,1383.6,1372.7,1374.75,631457
2025-10-16,RELIANCE.BSE,1374.8,1400.45,1374.8,1398.05,1163237
2025-10-17,RELIANCE.BSE,1400.0,1423.45,1399.5,1416.95,970166
2025-10-20,RELIANCE.BSE,1440.0,1473.55,1435.0,1466.8,1742719
2025-10-21,RELIANCE.BSE,1466.05,1473.95,1460.2,1465.15,303848
2025-10-23,RELIANCE.BSE,1475.0,1482.5,1444.8,1448.05,1083554
2025-10-24,RELIANCE.BSE,1450.0,1459.95,1441.1,1451.45,331591
2025-10-27,RELIANCE.BSE,1461.25,1484.95,1458.7,1484.0,393023
2025-10-28,RELIANCE.BSE,1480.15,1492.1,1478.0,1487.15,1341632
2025-10-29,RELIANCE.BSE,1489.0,1508.0,1488.7,1504.05,750041
2025-10-30,RELIANCE.BSE,1500.0,1503.25,1484.0,1488.45,772640
2025-10-31,RELIANCE.BSE,1491.0,1497.8,1482.0,1486.5,268477
2025-11-03,RELIANCE.BSE,1486.0,1495.0,1479.15,1484.35,548207
2025-11-04,RELIANCE.BSE,1484.3,1492.7,1470.3,1471.85,265941
2025-11-06,RELIANCE.BSE,1483.1,1501.95,1477.55,1495.75,1178418
2025-11-07,RELIANCE.BSE,1497.65,1498.5,1476.25,1478.25,378528
2025-11-10,RELIANCE.BSE,1473.15,1500.0,1473.15,1489.25,408088
2025-11-11,RELIANCE.BSE,1496.0,1498.7,1480.25,1493.9,214867
2025-11-12,RELIANCE.BSE,1500.0,1524.0,1500.0,1511.75,854483
2025-11-13,RELIANCE.BSE,1512.5,1522.0,1505.6,1510.6,1136211
2025-11-14,RELIANCE.BSE,1506.8,1520.7,1506.0,1518.85,283160
2025-11-17,RELIANCE.BSE,1518.85,1523.5,1511.45,1517.9,214052
2025-11-18,RELIANCE.BSE,1523.65,1527.8,1510.05,1519.65,155896
2025-11-19,RELIANCE.BSE,1514.0,1522.2,1511.7,1518.65,289954
2025-11-20,RELIANCE.BSE,1530.0,1550.9,1526.8,1549.1,1873543
2025-11-21,RELIANCE.BSE,1541.0,1557.95,1539.0,1545.95,514303
2025-11-24,RELIANCE.BSE,1548.1,1550.0,1532.9,1535.75,236624
2025-11-25,RELIANCE.BSE,1535.0,1560.0,1525.0,1539.1,229673
2025-11-26,RELIANCE.BSE,1545.0,1571.8,1541.0,1569.75,485790
2025-11-27,RELIANCE.BSE,1575.25,1575.25,1556.0,1563.55,1112784
2025-11-28,RELIANCE.BSE,1568.0,1580.9,1562.35,1566.85,479141
2025-12-01,RELIANCE.BSE,1575.0,1579.95,1563.75,1565.9,162025
2025-12-02,RELIANCE.BSE,1560.05,1567.0,1542.25,1546.4,110289
2025-12-03,RELIANCE.BSE,1546.4,1552.0,1533.1,1539.0,420895
2025-12-04,RELIANCE.BSE,1536.05,1560.1,1518.0,1538.4,1432313
2025-12-05,RELIANCE.BSE,1531.8,1546.0,1520.45,1540.9,308198
2025-12-08,RELIANCE.BSE,1533.05,1550.8,1533.05,1542.55,1730253
2025-12-09,RELIANCE.BSE,1540.0,1542.95,1520.35,1528.8,817126
2025-12-10,RELIANCE.BSE,1532.0,1547.5,1530.9,1535.3,1143477
2025-12-11,RELIANCE.BSE,1536.3,1549.95,1523.75,1544.9,1127154
2025-12-12,RELIANCE.BSE,1549.05,1559.5,1546.6,1556.0,102402
2025-12-15,RELIANCE.BSE,1555.95,1557.95,1547.0,1556.05,162363
2025-12-16,RELIANCE.BSE,1548.0,1551.55,1539.4,1541.8,126933
2025-12-17,RELIANCE.BSE,1550.0,1550.0,1539.3,1544.6,240805
2025-12-18,RELIANCE.BSE,1539.95,1551.0,1536.0,1544.35,1018167
2025-12-19,RELIANCE.BSE,1552.8,1573.9,1551.05,1565.1,256444
2025-12-22,RELIANCE.BSE,1568.2,1577.0,1565.6,1575.45,382704
2025-12-23,RELIANCE.BSE,1576.05,1580.0,1568.05,1570.9,464178
2025-12-24,RELIANCE.BSE,1571.05,1575.0,1553.85,1557.95,712435
2025-12-26,RELIANCE.BSE,1555.0,1561.0,1554.8,1559.0,113233
